날짜,요일,역번호,역명,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~
2020-01-01,2,150,서울역,승차,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2020-01-01,2,150,서울역,하차,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
2020-01-01,2,151,시청,승차,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,151,시청,하차,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2020-01-01,2,152,종각,승차,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-01-01,2,152,종각,하차,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2020-01-01,2,153,종로3가,승차,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2020-01-01,2,153,종로3가,하차,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2020-01-01,2,154,종로5가,승차,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,154,종로5가,하차,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2020-01-01,2,155,동대문,승차,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,155,동대문,하차,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
2020-01-01,2,156,신설동,승차,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-01-01,2,156,신설동,하차,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2020-01-01,2,157,제기동,승차,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,157,제기동,하차,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2020-01-01,2,158,청량리(서울시립대입구),승차,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2020-01-01,2,158,청량리(서울시립대입구),하차,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2020-01-01,2,159,동묘앞,승차,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2020-01-01,2,159,동묘앞,하차,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2020-01-01,2,201,시청,승차,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,201,시청,하차,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2020-01-01,2,202,을지로입구,승차,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2020-01-01,2,202,을지로입구,하차,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
2020-01-01,2,203,을지로3가,승차,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,203,을지로3가,하차,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,204,을지로4가,승차,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,204,을지로4가,하차,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,205,동대문역사문화공원(DDP),승차,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,205,동대문역사문화공원(DDP),하차,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2020-01-01,2,206,신당,승차,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,206,신당,하차,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-01-01,2,207,상왕십리,승차,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
